PRECID,PFIRM,POFFIC,PACCT,PATYPE,PCUSIP,PCUSP2,PCTYM,PSBCUS,PSTYPE,PSUBTY,PSTYP2,PSTRIK,PEXPDT,PSUBAC,PDEAL,PTDATE,PTPRIC,PBS,PLOC,PBROKR,PSPRED,PTRACE,PICODE,PREFNO,PSWAC1,PSWAP1,PSWAS1,PSWAC2,PSWAP2,PSWAS2,PZONE,PACNTY,PCLASS,PSUBCL,PRR,PRISKG,PMEMBR,PSNAME,PSRCAC,PREFOF,PREFRR,POFFFN,POFFOF,POFFAC,POFFAT,PMPGMN,PSTATA,PSTATB,PSTATC,PSTATD,PSTATE,PSTATF,PSTATG,PSTATH,PSTATJ,PSTATK,PSTAT1,PSTAT2,PSTAT3,PSTAT4,PSTAT5,PSTAT6,PSTAT7,PSTAT8,PSTAT9,PQTEDT,PQTY,PPRTQ,PBUSTQ,PMAKEQ,PLEAVQ,PSEGQ,PTFRQ,PDLVYQ,PDLVYA,PSDSC#,PSDSC1,PSDSC2,PSDSC3,PTDSC#,PTDSC1,PTDSC2,PTDSC3,PMKVAL,PYSTMV,PMULTF,PSDATE,PEXRAT,PRXDAT,PIAD,PYIELD,PDCTCO,PDELTA,PLTDAT,PCTLNO,PPCNTY,PEXCH,PFC,PTYPE,PSYMBL,PPTYPE,PSUBEX,PTRDEX,PMATDT,PPRTPR,PBASIS,PCLOSE,PPRCDT,PPRTCP,PUNDCP,PPRTUC,PPRVCP,PTRPRC,PEXPR,PPRICE,PSPEDT,PTPEDT,PCURSY,PCURCD,PCALC,PCMNT1,PCMNT2,PCMNT3,PLEGND,POMNCD,PRTHT,PSCHDL,POC,PCOD,PUCUSP,PCVTBL,PEXBKR,POPBKR,POPFRM,PGIVIO,PGIVF#,PIEXNG,PIEFRM,PCARD,PORDER,PCHIT,PFEECL,PFEEEX,PCTI,PORDTY,PORDOR,PTIME,PTBKT,PSESSN,PSTINS,PTTYPE,PBARG1,PBARG2,PBARG3,PBARG4,PBARG5,PMTABL,PMINIT,PMVARN,PMUNTL,PMGCNV,PREL1F,PREL1O,PREL1A,PREL1T,PREL2F,PREL2O,PREL2A,PREL2T,PREL3F,PREL3O,PREL3A,PREL3T,PCOMM,PFEE1,PFEE2,PFEE3,PFEE4,PFEE5,PFEE6,PFEE7,PFEE8,PFEE9,PGICHG,PBKCHG,POTHER, PGROSS , PNET ,PMBKOF,PMFLOR,PMORDR,PMWIRE,PMOTHR,PATCOM,PATFE1,PATFE2,PATFE3,PATFE4,PATFE5,PATFE6,PAFE7,PATFE8,PATFE9,PATGIV,PATBKG,PATOTH,PATBKO,PATFLR,PATORD,PATWIR,PATALO,PFDCOM,PFDFE1,PFDFE2,PFDFE3,PFDFE4,PFDFE5,PFDFE6,PFDFE7,PFDFE8,PFDFE9,PFDGIV,PFDBKG,PFDOTH,PFDBKO,PFDFLR,PFDORD,PFDWIR,PFDALO,PFUFE1,PFUFE2,PFUFE3,PFUFE4,PFUFE5,PFUFE6,PFUFE7,PFUFE8,PFUFE9,PFUGIV,PFUBKG,PFUOTH,PFUBKO,PFUFLR,PFUORD,PFUWIR,PFUALO,POVNQ,PDAYQ,PSCRQ,PSPDQ,POVNC,PDAYC,PSCRC,PSPDC,PSORTK,PLEVEL,PBATCH,PRECNO,PCLRID,PINPMO,PINPYR,PFBACC,PORIG,PCABCD,PSCHOV,PPGMID,PSCRID,PUSER,PWSID,PWSTIM,PDEST,PDELET,PXTRCT,PBQTY,PSQTY,PFDAM1,PAMT1,PFDAM2,PAMT2,PROUT1,PROUT2,PROUT3,PCURAC,PCURAT,PCCNTY
"P","P","PRI","00161","US",".GCU0000016L","            ","201612","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20161024   ,50.28000000      ,"2"," ","  "," ","6J24 CKRT0","100","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"DEC 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","131454                        ",320.00           ,.00              ,1000.0000000     ,20161024   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20161121   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   50.28   ",.00000000  ,49.96000000      ,20161025   ,"   49.96   ",.00000000        ,"           ",50.52000000      ,.00000000        ,"       ","     0005028"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","2Y9N","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-5.50            ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-5.50            ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45140    ,"    164937","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131651   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0000016L","            ","201612","  ","F"," "," ",.00000000        ,0          ,"          ","       ",20161025   ,50.03000000      ,"2"," ","  "," ","6J25 CQK40","100","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"DEC 16 NYM LT CRUDE           ","                              ","                              ",1  ,"                              ","                              ","131511                        ",70.00            ,.00              ,1000.0000000     ,20161025   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20161121   ,"          ","US","07","CU"," ","      "," "," ","1G",0          ,"   50.03   ",.00000000  ,49.96000000      ,20161025   ,"   49.96   ",.00000000        ,"           ",50.03000000      ,.00000000        ,"       ","     0005003"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS"," "," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","D2YF","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-5.50            ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-5.50            ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45141    ,"    174215","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131616   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0445016X","            ","201612","  ","F","P"," ",44.50000000      ,20161116   ,"          ","       ",20161025   ,.22000000        ,"2"," ","  "," ","6J25 CQMS0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 16 NYM LT CRUDE  4450","                              ","                              ",1  ,"                              ","                              ","131523                        ",-230.00          ,.00              ,1000.0000000     ,20161025   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0950  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .22   ",.00000000  ,.23000000        ,20161025   ,"     .23   ",49.96000000      ,"           ",.22000000        ,.00000000        ,"0004450","     0000022","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","D30L","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-10.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45142    ,"    174242","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131818   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0470016X","            ","201612","  ","F","P"," ",47.00000000      ,20161116   ,"          ","       ",20161025   ,.56000000        ,"2"," ","  "," ","6J25 CPWV0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 16 NYM LT CRUDE  4700","                              ","                              ",1  ,"                              ","                              ","131424                        ",-570.00          ,.00              ,1000.0000000     ,20161025   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2180  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .56   ",.00000000  ,.57000000        ,20161025   ,"     .57   ",49.96000000      ,"           ",.56000000        ,.00000000        ,"0004700","     0000056","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","D2OA","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-10.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45143    ,"    174051","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131608   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0485016X","            ","201612","  ","F","P"," ",48.50000000      ,20161116   ,"          ","       ",20161024   ,.86000000        ,"2"," ","  "," ","6J24 CJ8E0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 16 NYM LT CRUDE  4850","                              ","                              ",1  ,"                              ","                              ","131346                        ",-970.00          ,.00              ,1000.0000000     ,20161024   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.3390  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .86   ",.00000000  ,.97000000        ,20161025   ,"     .97   ",49.96000000      ,"           ",.80000000        ,.00000000        ,"0004850","     0000086","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","2XCO","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-110.00          ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45144    ,"    164779","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131444   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0500016L","            ","201612","  ","F","C"," ",50.00000000      ,20161116   ,"          ","       ",20161013   ,2.58000000       ,"1"," ","  "," ","6J13 CS0V0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 16 NYM LT CRUDE  5000","                              ","                              ",1  ,"                              ","                              ","131907                        ",1530.00          ,.00              ,1000.0000000     ,20161013   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.5110  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"    2.58   ",.00000000  ,1.53000000       ,20161025   ,"    1.53   ",49.96000000      ,"           ",1.85000000       ,.00000000        ,"0005000","     0000258","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","WGVE","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-1050.00         ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",45145    ,"    171408","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131958   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0515016X","            ","201612","  ","F","P"," ",51.50000000      ,20161116   ,"          ","       ",20161025   ,2.40000000       ,"1"," ","  "," ","6J25 CPG00","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 16 NYM LT CRUDE  5150","                              ","                              ",1  ,"                              ","                              ","131340                        ",2430.00          ,.00              ,1000.0000000     ,20161025   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.6440  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"    2.40   ",.00000000  ,2.43000000       ,20161025   ,"    2.43   ",49.96000000      ,"           ",2.40000000       ,.00000000        ,"0005150","     0000240","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","D20C","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,30.00            ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45146    ,"    173982","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131601   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0530016L","            ","201612","  ","F","C"," ",53.00000000      ,20161116   ,"          ","       ",20161025   ,.50000000        ,"1"," ","  "," ","6J25 CPHG0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 16 NYM LT CRUDE  5300","                              ","                              ",1  ,"                              ","                              ","131344                        ",480.00           ,.00              ,1000.0000000     ,20161025   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2220  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .50   ",.00000000  ,.48000000        ,20161025   ,"     .48   ",49.96000000      ,"           ",.50000000        ,.00000000        ,"0005300","     0000050","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","D26N","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-20.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45147    ,"    173990","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131601   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0540016L","            ","201612","  ","F","C"," ",54.00000000      ,20161116   ,"          ","       ",20161024   ,.38000000        ,"1"," ","  "," ","6J24 CK0J0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 16 NYM LT CRUDE  5400","                              ","                              ",1  ,"                              ","                              ","131512                        ",310.00           ,.00              ,1000.0000000     ,20161024   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.1550  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .38   ",.00000000  ,.31000000        ,20161025   ,"     .31   ",49.96000000      ,"           ",.41000000        ,.00000000        ,"0005400","     0000038","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","2YH0","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-70.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",45148    ,"    165058","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131654   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0570016L","            ","201612","  ","F","C"," ",57.00000000      ,20161116   ,"          ","       ",20161013   ,.33000000        ,"2"," ","  "," ","6J13 CPX10","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 16 NYM LT CRUDE  5700","                              ","                              ",1  ,"                              ","                              ","131218                        ",-90.00           ,.00              ,1000.0000000     ,20161013   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0500  ,20161116   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .33   ",.00000000  ,.09000000        ,20161025   ,"     .09   ",49.96000000      ,"           ",.12000000        ,.00000000        ,"0005700","     0000033","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","WEOL","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,240.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",45149    ,"    167555","&","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131314   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
