PRECID,PFIRM,POFFIC,PACCT,PATYPE,PCUSIP,PCUSP2,PCTYM,PSBCUS,PSTYPE,PSUBTY,PSTYP2,PSTRIK,PEXPDT,PSUBAC,PDEAL,PTDATE,PTPRIC,PBS,PLOC,PBROKR,PSPRED,PTRACE,PICODE,PREFNO,PSWAC1,PSWAP1,PSWAS1,PSWAC2,PSWAP2,PSWAS2,PZONE,PACNTY,PCLASS,PSUBCL,PRR,PRISKG,PMEMBR,PSNAME,PSRCAC,PREFOF,PREFRR,POFFFN,POFFOF,POFFAC,POFFAT,PMPGMN,PSTATA,PSTATB,PSTATC,PSTATD,PSTATE,PSTATF,PSTATG,PSTATH,PSTATJ,PSTATK,PSTAT1,PSTAT2,PSTAT3,PSTAT4,PSTAT5,PSTAT6,PSTAT7,PSTAT8,PSTAT9,PQTEDT,PQTY,PPRTQ,PBUSTQ,PMAKEQ,PLEAVQ,PSEGQ,PTFRQ,PDLVYQ,PDLVYA,PSDSC#,PSDSC1,PSDSC2,PSDSC3,PTDSC#,PTDSC1,PTDSC2,PTDSC3,PMKVAL,PYSTMV,PMULTF,PSDATE,PEXRAT,PRXDAT,PIAD,PYIELD,PDCTCO,PDELTA,PLTDAT,PCTLNO,PPCNTY,PEXCH,PFC,PTYPE,PSYMBL,PPTYPE,PSUBEX,PTRDEX,PMATDT,PPRTPR,PBASIS,PCLOSE,PPRCDT,PPRTCP,PUNDCP,PPRTUC,PPRVCP,PTRPRC,PEXPR,PPRICE,PSPEDT,PTPEDT,PCURSY,PCURCD,PCALC,PCMNT1,PCMNT2,PCMNT3,PLEGND,POMNCD,PRTHT,PSCHDL,POC,PCOD,PUCUSP,PCVTBL,PEXBKR,POPBKR,POPFRM,PGIVIO,PGIVF#,PIEXNG,PIEFRM,PCARD,PORDER,PCHIT,PFEECL,PFEEEX,PCTI,PORDTY,PORDOR,PTIME,PTBKT,PSESSN,PSTINS,PTTYPE,PBARG1,PBARG2,PBARG3,PBARG4,PBARG5,PMTABL,PMINIT,PMVARN,PMUNTL,PMGCNV,PREL1F,PREL1O,PREL1A,PREL1T,PREL2F,PREL2O,PREL2A,PREL2T,PREL3F,PREL3O,PREL3A,PREL3T,PCOMM,PFEE1,PFEE2,PFEE3,PFEE4,PFEE5,PFEE6,PFEE7,PFEE8,PFEE9,PGICHG,PBKCHG,POTHER, PGROSS , PNET ,PMBKOF,PMFLOR,PMORDR,PMWIRE,PMOTHR,PATCOM,PATFE1,PATFE2,PATFE3,PATFE4,PATFE5,PATFE6,PAFE7,PATFE8,PATFE9,PATGIV,PATBKG,PATOTH,PATBKO,PATFLR,PATORD,PATWIR,PATALO,PFDCOM,PFDFE1,PFDFE2,PFDFE3,PFDFE4,PFDFE5,PFDFE6,PFDFE7,PFDFE8,PFDFE9,PFDGIV,PFDBKG,PFDOTH,PFDBKO,PFDFLR,PFDORD,PFDWIR,PFDALO,PFUFE1,PFUFE2,PFUFE3,PFUFE4,PFUFE5,PFUFE6,PFUFE7,PFUFE8,PFUFE9,PFUGIV,PFUBKG,PFUOTH,PFUBKO,PFUFLR,PFUORD,PFUWIR,PFUALO,POVNQ,PDAYQ,PSCRQ,PSPDQ,POVNC,PDAYC,PSCRC,PSPDC,PSORTK,PLEVEL,PBATCH,PRECNO,PCLRID,PINPMO,PINPYR,PFBACC,PORIG,PCABCD,PSCHOV,PPGMID,PSCRID,PUSER,PWSID,PWSTIM,PDEST,PDELET,PXTRCT,PBQTY,PSQTY,PFDAM1,PAMT1,PFDAM2,PAMT2,PROUT1,PROUT2,PROUT3,PCURAC,PCURAT,PCCNTY
"P","P","PRI","00172","US",".D370102515V","            ","201510","  ","F","P"," ",1025.00000000    ,20150924   ,"          ","       ",20150916   ,.40000000        ,"2"," ","  "," ","5I16 B8PV0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  OCT 15 CMX GOLD      1025","                              ","                              ",1  ,"                              ","                              ","123004                        ",-10.00           ,.00              ,100.0000000      ,20150916   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0000  ,20150924   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"     .40   ",.00000000  ,.10000000        ,20150921   ,"     .10   ",1133.10000000    ,"           ",.10000000        ,.00000000        ,"0001025","     0000040"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","CUKP","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,30.00            ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","S<K",47292    ,"    134347","0","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",123044   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370102515X","            ","201512","  ","F","P"," ",1025.00000000    ,20151124   ,"          ","       ",20150921   ,4.00000000       ,"2"," ","  "," ","5I21 B1Y60","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 15 CMX GOLD      1025","                              ","                              ",1  ,"                              ","                              ","140713                        ",-820.00          ,.00              ,100.0000000      ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0930  ,20151124   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"    4.00   ",.00000000  ,4.10000000       ,20150921   ,"    4.10   ",1132.80000000    ,"           ",4.00000000       ,.00000000        ,"0001025","     0000400"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","1CFS","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-20.00           ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-22.00           ,.00              ,-2.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-22.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","V<9",47293    ,"    127326","&","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",140802   ,"B"," ",0        ,.0000            ,2.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370106515V","            ","201510","  ","F","P"," ",1065.00000000    ,20150924   ,"          ","       ",20150921   ,.20000000        ,"1"," ","  "," ","5I21 BS190","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  OCT 15 CMX GOLD      1065","                              ","                              ",1  ,"                              ","                              ","123551                        ",40.00            ,.00              ,100.0000000      ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0070  ,20150924   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"     .20   ",.00000000  ,.20000000        ,20150921   ,"     .20   ",1133.10000000    ,"           ",.20000000        ,.00000000        ,"0001065","     0000020"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","ZFBH","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,.00              ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-22.00           ,.00              ,-2.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-22.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","S<P",47294    ,"    123277","0","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",123732   ,"B"," ",0        ,2.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370108015L","            ","201512","  ","F","C"," ",1080.00000000    ,20151124   ,"          ","       ",20150921   ,63.40000000      ,"2"," ","  "," ","5I21 B1YP0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 15 CMX GOLD      1080","                              ","                              ",1  ,"                              ","                              ","140647                        ",-6420.00         ,.00              ,100.0000000      ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.7640  ,20151124   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"   63.40   ",.00000000  ,64.20000000      ,20150921   ,"   64.20   ",1132.80000000    ,"           ",63.40000000      ,.00000000        ,"0001080","     0006340"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","1CGD","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-80.00           ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","V<9",47295    ,"    127306","&","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",140802   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370109515V","            ","201510","  ","F","P"," ",1095.00000000    ,20150924   ,"          ","       ",20150916   ,4.70000000       ,"1"," ","  "," ","5I16 B8ZY0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  OCT 15 CMX GOLD      1095","                              ","                              ",1  ,"                              ","                              ","123221                        ",50.00            ,.00              ,100.0000000      ,20150916   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0290  ,20150924   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"    4.70   ",.00000000  ,.50000000        ,20150921   ,"     .50   ",1133.10000000    ,"           ",.70000000        ,.00000000        ,"0001095","     0000470"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","CWU8","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-420.00          ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","S<M",47296    ,"    134557","0","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",123247   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370109515X","            ","201512","  ","F","P"," ",1095.00000000    ,20151124   ,"          ","       ",20150921   ,15.20000000      ,"1"," ","  "," ","5I21 B1YZ0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  DEC 15 CMX GOLD      1095","                              ","                              ",1  ,"                              ","                              ","140701                        ",3000.00          ,.00              ,100.0000000      ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2950  ,20151124   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"   15.20   ",.00000000  ,15.00000000      ,20150921   ,"   15.00   ",1132.80000000    ,"           ",15.20000000      ,.00000000        ,"0001095","     0001520"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","1CFW","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-40.00           ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-22.00           ,.00              ,-2.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-22.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","V<9",47297    ,"    127318","&","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",140802   ,"B"," ",0        ,2.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".D370115015L","            ","201512","  ","F","C"," ",1150.00000000    ,20151124   ,"          ","       ",20150921   ,21.70000000      ,"1"," ","  "," ","5I21 B1YT0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL DEC 15 CMX GOLD      1150","                              ","                              ",1  ,"                              ","                              ","140656                        ",2200.00          ,.00              ,100.0000000      ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.4210  ,20151124   ,"          ","US","04","37","O","      "," "," ","1G",0          ,"   21.70   ",.00000000  ,22.00000000      ,20150921   ,"   22.00   ",1132.80000000    ,"           ",21.70000000      ,.00000000        ,"0001150","     0002170"," ","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","1CGG","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,30.00            ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","V<9",47298    ,"    127309","&","15","     "," "," ","  ","04","31","TML1      ","CMEXMLLOAD",140802   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".PEC0106515V","            ","201510","  ","F","P"," ",1.06500000       ,20151030   ,"          ","       ",20150918   ,.00020000        ,"1"," ","  "," ","5I18 CFF90","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  OCT 15 EURO CUR UNIT 1065","                              ","                              ",1  ,"                              ","                              ","130752                        ",56.25            ,.00              ,125000.0000000   ,20150918   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0320  ,20151030   ,"          ","US","16","EC","O","      "," "," ","16",0          ,"     .00020",.00000000  ,.00045000        ,20150921   ,"     .00045",1.12060000       ,"           ",.00020000        ,.00000000        ,"0001065","     0000020","3","D","USD","US"," "," N","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","JVWF","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,31.25            ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-.60             ,-.01             ,.00              ,.00              ,.00              ,-1.00            ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y","H"," "," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C","C"," "," "," "," ","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","T<O",47299    ,"    129260","0","15","     "," "," ","  ","02","31","TML1      ","CMEXMLLOAD",130738   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".PEC0110515V","            ","201510","  ","F","P"," ",1.10500000       ,20151030   ,"          ","       ",20150921   ,.00470000        ,"2"," ","  "," ","5I21 B2LD0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  OCT 15 EURO CUR UNIT 1105","                              ","                              ",1  ,"                              ","                              ","141526                        ",-1200.00         ,.00              ,125000.0000000   ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.2740  ,20151030   ,"          ","US","16","EC","O","      "," "," ","16",0          ,"     .00470",.00000000  ,.00480000        ,20150921   ,"     .00480",1.12060000       ,"           ",.00470000        ,.00000000        ,"0001105","     0000470","3","D","USD","US"," "," N","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","1CQ8","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-25.00           ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-22.00           ,.00              ,-1.20            ,-.02             ,.00              ,.00              ,.00              ,-2.00            ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y","H"," "," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C","C"," "," "," "," ","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-22.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","V<G",47300    ,"    122148","0","15","     "," "," ","  ","02","31","TML1      ","CMEXMLLOAD",141610   ,"B"," ",0        ,.0000            ,2.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00172","US",".PEC0112015J","            ","201510","  ","F","C"," ",1.12000000       ,20151030   ,"          ","       ",20150921   ,.01140000        ,"1"," ","  "," ","5I21 BRHY0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","DERBY LLC           ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL OCT 15 EURO CUR UNIT 1120","                              ","                              ",1  ,"                              ","                              ","121756                        ",1362.50          ,.00              ,125000.0000000   ,20150921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.5140  ,20151030   ,"          ","US","16","EC","O","      "," "," ","16",0          ,"     .01140",.00000000  ,.01090000        ,20150921   ,"     .01090",1.12060000       ,"           ",.01140000        ,.00000000        ,"0001120","     0001140","3","D","USD","US"," "," N","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","YXDM","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-62.50           ,0          ,.00              ,"P","9PR","00170","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-.60             ,-.01             ,.00              ,.00              ,.00              ,-1.00            ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y","H"," "," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C","C"," "," "," "," ","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","S<8",47301    ,"    118237","0","15","     "," "," ","  ","02","31","TML1      ","CMEXMLLOAD",121908   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
