"Firm Id","Acct Id","Exchange","Ticker Symbol","Product Name","CC Code","Period Code","Put / Call","Strike","Underlying Period Code","Net Positions","Margin Type","Client ID"
"tml1","ZC_FCMTYPE","CBT","","","C","201609","PUT","2.9","201609","1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","PUT","3.9","201609","-1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","4","201609","-2","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","PUT","4.1","201609","1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","4.6","201609","1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","5","201609","1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","","","","-4","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","PUT","3.6","201609","-2","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","PUT","3.8","201609","-1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","4.1","201609","1","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","4.3","201609","2","",
"tml1","ZC_FCMTYPE","CBT","","","C","201609","CALL","4.5","201609","1","",
